Unnamed: 0,Title,Author,Published,Link
0,A phantom study of a protective trolley for neonatal radiographic imaging: new equipment to protect the operator from scatter radiation,"Liu, H.",Feb-23,https://pureportal.coventry.ac.uk/en/publications/a-phantom-study-of-a-protective-trolley-for-neonatal-radiographic
1,A Serious Game for Patients With Eating Disorders (Maze Out): Pilot User Experience and Acceptance Study,"Bul, K.",27-Jan-23,https://pureportal.coventry.ac.uk/en/publications/a-serious-game-for-patients-with-eating-disorders-maze-out-pilot-
2,Association of the COVID-19 pandemic on stroke admissions and treatment globally: a systematic review,"Kurmi, O.",17-Mar-23,https://pureportal.coventry.ac.uk/en/publications/association-of-the-covid-19-pandemic-on-stroke-admissions-and-tre
3,"Capability, Opportunity, and Motivation—Identifying Constructs for Increasing Physical Activity Behaviours in Women with Polycystic Ovary Syndrome (PCOS)","McGregor, G.",28-Jan-23,https://pureportal.coventry.ac.uk/en/publications/capability-opportunity-and-motivationidentifying-constructs-for-i
4,Cerebral Hemodynamics Underlying Artery-to-Artery Embolism in Symptomatic Intracranial Atherosclerotic Disease,"Liu, H.",10-Mar-23,https://pureportal.coventry.ac.uk/en/publications/cerebral-hemodynamics-underlying-artery-to-artery-embolism-in-sym
5,Congenic hematopoietic stem cell transplantation promotes survival of heart allografts in murine models of acute and chronic rejection,"Sadozai, H.",2-Apr-23,https://pureportal.coventry.ac.uk/en/publications/congenic-hematopoietic-stem-cell-transplantation-promotes-surviva
6,"Contactless WiFi Sensing and Monitoring for Future Healthcare: Emerging Trends, Challenges and Opportunities","Shah, S. A.",2023,https://pureportal.coventry.ac.uk/en/publications/contactless-wifi-sensing-and-monitoring-for-future-healthcare-eme
7,Deep learning identification of coronary artery disease from bilateral finger photoplethysmography sensing: A proof-of-concept study,"Allen, J.",1-Sep-23,https://pureportal.coventry.ac.uk/en/publications/deep-learning-identification-of-coronary-artery-disease-from-bila
8,Dietary Intake and Body Composition During Ramadan in Athletes: A Systematic Review and Meta-Analysis With Meta-Regression,"Clark, C. C. T.",2023,https://pureportal.coventry.ac.uk/en/publications/dietary-intake-and-body-composition-during-ramadan-in-athletes-a-
9,Does folic acid supplementation affect body weight or body mass index? A systematic review and meta-analysis of randomized controlled trial,"Clark, C. C. T.",Jul-23,https://pureportal.coventry.ac.uk/en/publications/does-folic-acid-supplementation-affect-body-weight-or-body-mass-i
10,Dual-Stream Contrastive Learning for Channel State Information Based Human Activity Recognition,"Xu, K.",1-Jan-23,https://pureportal.coventry.ac.uk/en/publications/dual-stream-contrastive-learning-for-channel-state-information-ba
11,Early diagnosis of coronary microvascular dysfunction by myocardial contrast stress echocardiography,"Liu, H.",21-Feb-23,https://pureportal.coventry.ac.uk/en/publications/early-diagnosis-of-coronary-microvascular-dysfunction-by-myocardi
12,Effect of Filtering on Pulse Wave Transit Time Measured by Photoplethysmography,"Liu, H.",3-Apr-23,https://pureportal.coventry.ac.uk/en/publications/effect-of-filtering-on-pulse-wave-transit-time-measured-by-photop
13,"Effect of magnesium supplementation in improving hyperandrogenism, hirsutism, and sleep quality in women with polycystic ovary syndrome:  A randomized, placebo‐controlled clinical trial","Clark, C. C. T.",Jan-23,https://pureportal.coventry.ac.uk/en/publications/effect-of-magnesium-supplementation-in-improving-hyperandrogenism
14,Effects of school-based interventions on Food and Nutrition Literacy (FNLIT) in primary-school-age children: a systematic review,"Clark, C. C. T.",28-Jun-23,https://pureportal.coventry.ac.uk/en/publications/effects-of-school-based-interventions-on-food-and-nutrition-liter
